frame,matchPeriod,team.name,player.id.wyscout,player.id.skillcorner,pass.recipient.id.wyscout,pass.recipient.id.skillcorner,location.x,location.y,pass.endLocation.x,pass.endLocation.y,play_direction,dxt,tracking.object_id,tracking.x,tracking.y,tracking.z,extrapolated,location.x_original,location.y_original,endLocation.x_original,endLocation.y_original,tracking.is_self,tracking.is_teammate,responsibility
77,1,Netherland,625,7017,476361,14407,8.470588235294116,21.616842105263157,22.235294117647058,7.046153846153846,TOP_TO_BOTTOM,-0.0022114107025256,4777,41.36,1.32,0.0,True,42,83,29,60,False,True,0.0
77,1,Netherland,625,7017,476361,14407,8.470588235294116,21.616842105263157,22.235294117647058,7.046153846153846,TOP_TO_BOTTOM,-0.0022114107025256,14407,21.75,9.36,0.0,False,42,83,29,60,False,True,0.0
77,1,Netherland,625,7017,476361,14407,8.470588235294116,21.616842105263157,22.235294117647058,7.046153846153846,TOP_TO_BOTTOM,-0.0022114107025256,10738,20.96,-13.83,0.0,False,42,83,29,60,False,True,0.0
77,1,Netherland,625,7017,476361,14407,8.470588235294116,21.616842105263157,22.235294117647058,7.046153846153846,TOP_TO_BOTTOM,-0.0022114107025256,24466,18.32,23.06,0.0,False,42,83,29,60,False,True,0.0
77,1,Netherland,625,7017,476361,14407,8.470588235294116,21.616842105263157,22.235294117647058,7.046153846153846,TOP_TO_BOTTOM,-0.0022114107025256,7863,13.77,-23.34,0.0,False,42,83,29,60,False,True,0.0
77,1,Netherland,625,7017,476361,14407,8.470588235294116,21.616842105263157,22.235294117647058,7.046153846153846,TOP_TO_BOTTOM,-0.0022114107025256,33512,7.31,-5.02,0.0,False,42,83,29,60,False,True,0.0
77,1,Netherland,625,7017,476361,14407,8.470588235294116,21.616842105263157,22.235294117647058,7.046153846153846,TOP_TO_BOTTOM,-0.0022114107025256,7017,9.69,11.68,0.0,False,42,83,29,60,True,True,0.0
77,1,Netherland,625,7017,476361,14407,8.470588235294116,21.616842105263157,22.235294117647058,7.046153846153846,TOP_TO_BOTTOM,-0.0022114107025256,3837,-1.63,-4.17,0.0,False,42,83,29,60,False,True,0.0
77,1,Netherland,625,7017,476361,14407,8.470588235294116,21.616842105263157,22.235294117647058,7.046153846153846,TOP_TO_BOTTOM,-0.0022114107025256,10082,-11.28,19.94,0.0,False,42,83,29,60,False,True,0.0
77,1,Netherland,625,7017,476361,14407,8.470588235294116,21.616842105263157,22.235294117647058,7.046153846153846,TOP_TO_BOTTOM,-0.0022114107025256,31930,-4.62,-17.74,0.0,False,42,83,29,60,False,True,0.0
77,1,Netherland,625,7017,476361,14407,8.470588235294116,21.616842105263157,22.235294117647058,7.046153846153846,TOP_TO_BOTTOM,-0.0022114107025256,7387,-5.88,1.78,0.0,False,42,83,29,60,False,True,0.0
109,1,Netherland,476361,14407,370,10738,22.235294117647058,7.046153846153846,26.470588235294116,-14.66,TOP_TO_BOTTOM,-0.0006597282212928001,-1,22.6,-0.58,0.12,False,29,60,25,28,False,False,0.0
109,1,Netherland,476361,14407,370,10738,22.235294117647058,7.046153846153846,26.470588235294116,-14.66,TOP_TO_BOTTOM,-0.0006597282212928001,7604,-38.43,0.09,0.0,True,29,60,25,28,False,False,0.0
109,1,Netherland,476361,14407,370,10738,22.235294117647058,7.046153846153846,26.470588235294116,-14.66,TOP_TO_BOTTOM,-0.0006597282212928001,16320,-10.79,-6.39,0.0,True,29,60,25,28,False,False,0.0
109,1,Netherland,476361,14407,370,10738,22.235294117647058,7.046153846153846,26.470588235294116,-14.66,TOP_TO_BOTTOM,-0.0006597282212928001,11516,-11.05,5.48,0.0,True,29,60,25,28,False,False,0.0
109,1,Netherland,476361,14407,370,10738,22.235294117647058,7.046153846153846,26.470588235294116,-14.66,TOP_TO_BOTTOM,-0.0006597282212928001,11630,-9.7,-17.12,0.0,True,29,60,25,28,False,False,0.0
109,1,Netherland,476361,14407,370,10738,22.235294117647058,7.046153846153846,26.470588235294116,-14.66,TOP_TO_BOTTOM,-0.0006597282212928001,11606,-12.4,17.19,0.0,True,29,60,25,28,False,False,0.0
109,1,Netherland,476361,14407,370,10738,22.235294117647058,7.046153846153846,26.470588235294116,-14.66,TOP_TO_BOTTOM,-0.0006597282212928001,12218,-0.54,3.12,0.0,False,29,60,25,28,False,False,0.0
109,1,Netherland,476361,14407,370,10738,22.235294117647058,7.046153846153846,26.470588235294116,-14.66,TOP_TO_BOTTOM,-0.0006597282212928001,277,6.47,9.76,0.0,False,29,60,25,28,False,False,0.0
109,1,Netherland,476361,14407,370,10738,22.235294117647058,7.046153846153846,26.470588235294116,-14.66,TOP_TO_BOTTOM,-0.0006597282212928001,946,4.42,-7.53,0.0,False,29,60,25,28,False,False,0.0
109,1,Netherland,476361,14407,370,10738,22.235294117647058,7.046153846153846,26.470588235294116,-14.66,TOP_TO_BOTTOM,-0.0006597282212928001,5922,5.93,-17.62,0.0,False,29,60,25,28,False,False,0.0
109,1,Netherland,476361,14407,370,10738,22.235294117647058,7.046153846153846,26.470588235294116,-14.66,TOP_TO_BOTTOM,-0.0006597282212928001,6028,14.14,15.37,0.0,False,29,60,25,28,False,False,0.0
109,1,Netherland,476361,14407,370,10738,22.235294117647058,7.046153846153846,26.470588235294116,-14.66,TOP_TO_BOTTOM,-0.0006597282212928001,12190,17.14,3.33,0.0,False,29,60,25,28,False,False,0.0
109,1,Netherland,476361,14407,370,10738,22.235294117647058,7.046153846153846,26.470588235294116,-14.66,TOP_TO_BOTTOM,-0.0006597282212928001,4777,42.28,0.18,0.0,True,29,60,25,28,False,True,0.0
109,1,Netherland,476361,14407,370,10738,22.235294117647058,7.046153846153846,26.470588235294116,-14.66,TOP_TO_BOTTOM,-0.0006597282212928001,14407,22.55,7.17,0.0,False,29,60,25,28,True,True,0.0
109,1,Netherland,476361,14407,370,10738,22.235294117647058,7.046153846153846,26.470588235294116,-14.66,TOP_TO_BOTTOM,-0.0006597282212928001,10738,26.05,-16.66,0.0,False,29,60,25,28,False,True,0.0
109,1,Netherland,476361,14407,370,10738,22.235294117647058,7.046153846153846,26.470588235294116,-14.66,TOP_TO_BOTTOM,-0.0006597282212928001,24466,15.37,24.9,0.0,False,29,60,25,28,False,True,0.0
109,1,Netherland,476361,14407,370,10738,22.235294117647058,7.046153846153846,26.470588235294116,-14.66,TOP_TO_BOTTOM,-0.0006597282212928001,7863,15.68,-28.85,0.0,False,29,60,25,28,False,True,0.0
109,1,Netherland,476361,14407,370,10738,22.235294117647058,7.046153846153846,26.470588235294116,-14.66,TOP_TO_BOTTOM,-0.0006597282212928001,33512,5.79,-9.03,0.0,False,29,60,25,28,False,True,0.0
