match_id,frame_id,x_top_left,y_top_left,x_bottom_left,y_bottom_left,x_bottom_right,y_bottom_right,x_top_right,y_top_right
952209,192,-12.08,39.0,-4.97,-30.47,16.82,-33.07,42.44,39.0
952209,193,-12.27,39.0,-5.1,-30.6,16.81,-33.23,42.39,39.0
952209,194,-12.49,39.0,-5.14,-30.5,16.79,-33.12,42.43,39.0
952209,195,-12.51,39.0,-5.21,-30.57,16.8,-33.16,42.27,39.0
952209,196,-12.9,39.0,-5.32,-30.71,16.79,-33.26,42.41,39.0
952209,197,-13.06,39.0,-5.36,-30.62,16.76,-33.18,42.41,39.0
952209,198,-13.37,39.0,-5.5,-30.72,16.79,-33.28,42.49,39.0
952209,199,-13.63,39.0,-5.55,-30.73,16.84,-33.35,42.86,39.0
952209,200,-13.91,39.0,-5.74,-30.97,16.9,-33.58,42.96,39.0
952209,201,-14.24,39.0,-5.79,-30.88,16.87,-33.51,43.11,39.0
952209,202,-14.6,39.0,-5.91,-30.96,16.86,-33.55,43.18,39.0
952209,203,-14.73,39.0,-6.0,-31.03,16.84,-33.62,43.07,39.0
952209,204,-15.05,39.0,-6.1,-31.08,16.81,-33.61,43.04,39.0
952209,205,-15.35,39.0,-6.19,-31.22,16.8,-33.7,43.08,39.0
952209,206,-15.79,39.0,-6.31,-31.32,16.74,-33.78,43.17,39.0
952209,207,-15.87,39.0,-6.4,-31.34,16.69,-33.81,42.94,39.0
952209,208,-16.17,39.0,-6.48,-31.26,16.57,-33.66,42.62,39.0
952209,209,-16.19,39.0,-6.62,-31.44,16.54,-33.79,42.21,39.0
952209,210,-16.68,39.0,-6.76,-31.54,16.46,-33.86,42.21,39.0
952209,211,-17.07,39.0,-6.87,-31.61,16.39,-33.92,42.22,39.0
952209,212,-17.51,39.0,-7.04,-31.81,16.32,-34.0,42.02,39.0
952209,213,-17.64,39.0,-7.12,-31.78,16.24,-33.98,41.76,39.0
952209,214,-18.01,39.0,-7.27,-31.86,16.13,-34.01,41.48,39.0
952209,215,-18.42,39.0,-7.36,-31.95,16.07,-34.05,41.54,39.0
952209,216,-18.88,39.0,-7.53,-32.1,16.0,-34.18,41.46,39.0
952209,217,-19.12,39.0,-7.63,-32.17,15.92,-34.22,41.27,39.0
952209,218,-19.4,39.0,-7.77,-32.25,15.85,-34.2,40.93,39.0
952209,219,-19.59,39.0,-7.87,-32.35,15.81,-34.24,40.74,39.0
952209,220,-20.13,39.0,-8.02,-32.5,15.78,-34.35,40.87,39.0
952209,221,-20.29,39.0,-8.07,-32.48,15.76,-34.36,40.9,39.0
952209,222,-20.31,39.0,-8.07,-32.51,15.82,-34.42,41.12,39.0
952209,223,-20.29,39.0,-8.06,-32.55,15.95,-34.51,41.53,39.0
952209,224,-20.24,39.0,-7.95,-32.51,16.27,-34.65,42.79,39.0
952209,225,-19.92,39.0,-7.83,-32.4,16.58,-34.61,43.56,39.0
952209,226,-19.41,39.0,-7.7,-32.46,17.09,-34.87,44.85,39.0
952209,227,-19.23,39.0,-7.58,-32.44,17.38,-34.97,45.86,39.0
952209,228,-18.66,39.0,-7.42,-32.49,17.86,-35.2,47.1,39.0
