match_id,half,team_name,name,start,end
952209,1,Netherland,OUT_POSSESSION,14801,15016
952209,1,Netherland,IN_POSSESSION,15017,15031
952209,1,France,OUT_POSSESSION,15017,15031
952209,1,France,IN_POSSESSION,15032,15051
952209,1,Netherland,OUT_POSSESSION,15032,15051
952209,1,Netherland,IN_POSSESSION,15052,15066
952209,1,France,OUT_POSSESSION,15052,15066
952209,1,France,IN_POSSESSION,15067,15212
952209,1,Netherland,OUT_POSSESSION,15067,15212
952209,1,Netherland,IN_POSSESSION,15213,15221
952209,1,France,OUT_POSSESSION,15213,15221
952209,1,France,IN_POSSESSION,15222,15253
952209,1,Netherland,OUT_POSSESSION,15222,15253
952209,1,Netherland,IN_POSSESSION,15254,15268
952209,1,France,OUT_POSSESSION,15254,15268
952209,1,France,IN_POSSESSION,15269,15370
952209,1,Netherland,OUT_POSSESSION,15269,15370
952209,1,Netherland,IN_POSSESSION,15371,15497
952209,1,France,OUT_POSSESSION,15371,15497
952209,1,France,IN_POSSESSION,15498,15660
952209,1,Netherland,OUT_POSSESSION,15498,15660
952209,1,Netherland,IN_POSSESSION,15661,15687
952209,1,France,OUT_POSSESSION,15661,15687
952209,1,France,IN_POSSESSION,15688,15697
952209,1,Netherland,OUT_POSSESSION,15688,15697
952209,1,Netherland,IN_POSSESSION,15698,15958
952209,1,France,OUT_POSSESSION,15698,15958
952209,1,Netherland,IN_POSSESSION,16096,16113
952209,1,France,OUT_POSSESSION,16096,16113
952209,1,France,IN_POSSESSION,16114,16291
952209,1,Netherland,OUT_POSSESSION,16114,16291
952209,1,Netherland,IN_POSSESSION,16292,16300
952209,1,France,OUT_POSSESSION,16292,16300
952209,1,Netherland,IN_POSSESSION,16510,16806
952209,1,France,OUT_POSSESSION,16510,16806
952209,1,France,IN_POSSESSION,16807,16925
952209,1,Netherland,OUT_POSSESSION,16807,16925
952209,1,Netherland,IN_POSSESSION,16926,16946
952209,1,France,OUT_POSSESSION,16926,16946
952209,1,France,IN_POSSESSION,16947,17379
952209,1,Netherland,OUT_POSSESSION,16947,17379
952209,1,Netherland,IN_POSSESSION,17380,17422
952209,1,France,OUT_POSSESSION,17380,17422
952209,1,France,IN_POSSESSION,17423,17702
952209,1,Netherland,OUT_POSSESSION,17423,17702
952209,1,France,IN_POSSESSION,17936,17939
952209,1,Netherland,OUT_POSSESSION,17936,17939
952209,1,Netherland,IN_POSSESSION,17940,18275
952209,1,France,OUT_POSSESSION,17940,18275
952209,1,France,IN_POSSESSION,18276,18389
952209,1,Netherland,OUT_POSSESSION,18276,18389
952209,1,Netherland,IN_POSSESSION,18390,18484
952209,1,France,OUT_POSSESSION,18390,18484
952209,1,France,IN_POSSESSION,18485,19149
952209,1,Netherland,OUT_POSSESSION,18485,19149
952209,1,Netherland,IN_POSSESSION,19150,19201
952209,1,France,OUT_POSSESSION,19150,19201
952209,1,Netherland,IN_POSSESSION,19645,19652
952209,1,France,OUT_POSSESSION,19645,19652
952209,1,France,IN_POSSESSION,19653,20238
952209,1,Netherland,OUT_POSSESSION,19653,20238
952209,1,France,IN_POSSESSION,20459,20481
952209,1,Netherland,OUT_POSSESSION,20459,20481
952209,1,Netherland,IN_POSSESSION,20482,20488
952209,1,France,OUT_POSSESSION,20482,20488
952209,1,France,IN_POSSESSION,20489,20536
952209,1,Netherland,OUT_POSSESSION,20489,20536
952209,1,Netherland,IN_POSSESSION,20537,20543
952209,1,France,OUT_POSSESSION,20537,20543
952209,1,France,IN_POSSESSION,20646,20712
952209,1,Netherland,OUT_POSSESSION,20646,20712
952209,1,France,IN_POSSESSION,21106,21218
952209,1,Netherland,OUT_POSSESSION,21106,21218
952209,1,Netherland,IN_POSSESSION,21219,21219
952209,1,France,OUT_POSSESSION,21219,21219
952209,1,France,IN_POSSESSION,21499,21519
952209,1,Netherland,OUT_POSSESSION,21499,21519
952209,1,France,IN_POSSESSION,21651,21666
952209,1,Netherland,OUT_POSSESSION,21651,21666
952209,1,Netherland,IN_POSSESSION,21667,22057
952209,1,France,OUT_POSSESSION,21667,22057
952209,1,France,IN_POSSESSION,22058,22187
952209,1,Netherland,OUT_POSSESSION,22058,22187
952209,1,France,IN_POSSESSION,22358,22360
952209,1,Netherland,OUT_POSSESSION,22358,22360
952209,1,Netherland,IN_POSSESSION,22361,22701
952209,1,France,OUT_POSSESSION,22361,22701
952209,1,France,IN_POSSESSION,22702,22742
952209,1,Netherland,OUT_POSSESSION,22702,22742
952209,1,Netherland,IN_POSSESSION,22743,22830
952209,1,France,OUT_POSSESSION,22743,22830
952209,1,France,IN_POSSESSION,22969,23022
952209,1,Netherland,OUT_POSSESSION,22969,23022
952209,1,Netherland,IN_POSSESSION,23023,23129
952209,1,France,OUT_POSSESSION,23023,23129
952209,1,France,IN_POSSESSION,23130,23217
952209,1,Netherland,OUT_POSSESSION,23130,23217
952209,1,Netherland,IN_POSSESSION,23218,23338
